标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
协和，楼龄新，环境安静，可公积金贷款，大两房大阳台,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,66.57平米,东南,精装,高楼层(共9层),1980年,塔楼,1280000.0,19228
南岸路低层实用两房单位简洁明亮装修新婚之选,南岸路 ,南岸路,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,40.07平米,东南,简装,中楼层(共8层),,塔楼,790000.0,19716
富力广场两房单位 ，东南向 ，视野采光好,富力广场T区 ,中山八,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,73.06平米,东南,其他,低楼层(共19层),2003年,塔楼,2980000.0,40789
南向两房    厅出阳台 采光通风都好,路劲隽泷湾 ,龙溪,VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,79.46平米,南,精装,低楼层(共15层),2013年,塔楼,2150000.0,27058
南向采光通风好 近地铁 配套齐全,新世界逸彩庭园 ,滘口,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,3室2厅,108.57平米,南,精装,高楼层(共18层),2007年,塔楼,3250000.0,29935
西门口地铁板块 精装修 拎包入住 出租自住两不误,中山七路 ,龙津,近地铁 VR房源 房本满五年 随时看房,4,1个月以前发布,2室1厅,45.1平米,南西,精装,中楼层(共9层),,板楼,1380000.0,30599
原装电梯小区房，环境安静，业主自住，生活方便。,金花苑 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,2室2厅,80.52平米,北,精装,低楼层(共25层),1999年,塔楼,2890000.0,35892
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),1993年,塔楼,1580000.0,32193
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),1988年,板楼,380000.0,15200
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),,塔楼,1300000.0,24427
荔港南湾 G区东南向三房 保养好,城启荔港南湾 ,南岸路,VR房源 房本满五年,1,4个月以前发布,3室1厅,90.47平米,东南,其他,中楼层(共34层),2008年,塔楼,4300000.0,47530
丰年华庭 芳村地*站 原装电梯大两房 装修新净,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,74.03平米,东南,精装,低楼层(共15层),2008年,塔楼,2150000.0,29043
高层南向两房，对流户型，一手业主，满五唯一，保养好,富力环市西苑 ,西村,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,69.54平米,南,精装,高楼层(共15层),2000年,塔楼,2980000.0,42854
房子南向望小区花园，采光通风好，三面单边,富力新居 ,南岸路,近地铁 VR房源 房本满两年,2,4个月以前发布,2室1厅,50.97平米,南,其他,高楼层(共9层),1993年,塔楼,1680000.0,32961
